workload,model,frequency,horizon,timesteps,suite,het_prob,status,rmse,max,mpe,exp_var,mape,r2_score,train_rmse,train_max,train_mpe,train_exp_var,train_mape,train_r2_score
aligned_spec_782.lbm_r_2.0GHz_cpu16,dt,2.0,10,5,spec2026,0.4,Success,1034017.9238127081,16138453.997999288,9.163438237706107,0.26285241795574177,9.932534400761826,-0.0029174075689129887,1237983.920490248,16519988.997999288,-5.651320343507902,0.13948476022654038,19.799591649270393,0.13948476022654044
aligned_spec_782.lbm_r_2.0GHz_cpu16,mlp,2.0,1,5,spec2026,0.4,Success,1037896.493935093,15667014.5,1.3833656512501675,0.005364222812215935,1.469892357949228,-0.01049728238306602,1405601.9423006373,31602110.0,-14.72467950634175,0.0047768714556419845,16.926214524366916,-0.08406558192357316
aligned_spec_782.lbm_r_2.0GHz_cpu16,mlp,2.0,5,5,spec2026,0.4,Success,1037355.8427693828,15677177.5,0.97242811020067,0.0016949005905400715,1.2373292480635092,-0.009426831937738678,1406298.9658535342,33022999.0,-15.194796611767313,0.0012159070849665499,16.940332244994245,-0.09886251840996652
aligned_spec_782.lbm_r_2.0GHz_cpu16,mlp,2.0,10,5,spec2026,0.4,Success,1038471.9909719359,15692615.5,1.1139395320745744,0.0012536437496679987,1.316725237998248,-0.011576858429247716,1398165.6656883839,33182706.5,-15.050345348086003,0.000793462841010173,16.936280700048986,-0.09754589702980979
aligned_spec_782.lbm_r_2.0GHz_cpu16,dt,2.0,1,5,spec2026,0.6,Success,869590.997320188,10902843.660811618,14.481075071884723,0.87030296771499,14.599985737423548,0.2906556236913259,1211656.0732821152,30935752.964693666,-6.521183944994523,0.24994487810806842,24.17135584752736,0.24994487810806854
aligned_spec_782.lbm_r_2.0GHz_cpu16,dt,2.0,5,5,spec2026,0.6,Success,1208848.2633559443,16374978.103683114,14.14504496086417,0.23008977759253404,14.384881475036979,-0.370761976239434,1322833.306109582,30935752.964693666,-6.960598363851345,0.09568718678060883,24.360744739795763,0.09568718678060892
aligned_spec_782.lbm_r_2.0GHz_cpu16,dt,2.0,10,5,spec2026,0.6,Success,1212096.446401035,16412833.951265937,14.21106734110747,0.22857987475105493,14.6087417479619,-0.37810831460353284,1306064.3085355263,30935752.964693666,-6.911272046992142,0.11093425254584706,24.428048463187743,0.11093425254584713
aligned_spec_782.lbm_r_2.0GHz_cpu16,mlp,2.0,1,5,spec2026,0.6,Success,1039303.4242520573,15684198.0,1.4139991652816564,0.0030466445328208858,1.5277604199733827,-0.013238717331513161,1548336.71289547,31471079.0,-22.691501736212558,5.555721368311062e-05,24.83282584836549,-0.2248002805225613
aligned_spec_782.lbm_r_2.0GHz_cpu16,mlp,2.0,5,5,spec2026,0.6,Success,1039241.0161213467,15737389.0,1.17462421177192,0.0012143274189142738,1.4613581413408574,-0.013099064154934092,1550204.32402113,31353122.0,-23.142437194612373,0.0003100960862014501,24.944644337015433,-0.24149319056208857
aligned_spec_782.lbm_r_2.0GHz_cpu16,mlp,2.0,10,5,spec2026,0.6,Success,1043564.1161488416,15746455.0,1.807308952430755,0.0009809771592664163,1.8572052938601118,-0.02152181328857563,1529838.115387666,31238885.0,-22.34732261103156,0.00047051931057752184,24.752718154689227,-0.21996044170950793
aligned_spec_782.lbm_r_2.0GHz_cpu16,dt,2.0,1,5,spec2026,0.8,Success,1125999.024160389,10652659.93775934,19.518703533340627,0.8558488784047313,19.685308330851363,-0.18933195690268345,1249586.2191977436,16560394.096551694,-7.053926714500752,0.19919628011432144,25.524343140835395,0.19919628011432144
aligned_spec_782.lbm_r_2.0GHz_cpu16,dt,2.0,5,5,spec2026,0.8,Success,1408654.9322326016,16681938.556534853,19.339737521991875,0.22885576577087852,19.43138264082658,-0.8613495591433267,1325893.4045912824,19177675.0,-7.39003402612982,0.08706372905474476,25.7081947682254,0.0870637290547448
